observationTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,precipitation,conditionCode,station_code,station_name,coordinates,date
2019-12-31 00:00:00,4.2,-0.7,7.5,13.4,256.0,100.0,1007.7,65.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 01:00:00,4.1,-0.7,7.1,13.9,253.0,100.0,1006.7,66.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 02:00:00,3.9,-0.7,6.5,12.9,261.0,100.0,1006.6,67.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 03:00:00,2.9,-2.0,6.5,13.0,260.0,100.0,1006.0,82.0,0.0,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 04:00:00,2.6,-2.0,5.6,11.2,251.0,100.0,1005.4,90.0,0.0,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 05:00:00,3.1,-1.4,5.7,10.7,256.0,100.0,1004.7,93.0,0.0,rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 06:00:00,3.4,-0.7,5.1,8.5,258.0,100.0,1005.0,96.0,0.0,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 07:00:00,3.6,0.4,3.5,7.5,254.0,100.0,1005.4,97.0,0.5,rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 08:00:00,4.0,0.8,3.7,6.3,259.0,100.0,1005.6,98.0,0.2,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 09:00:00,5.2,1.9,4.4,8.1,284.0,88.0,1006.1,95.0,0.2,rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 10:00:00,5.7,1.9,5.7,9.8,285.0,75.0,1005.9,90.0,0.0,cloudy-with-sunny-intervals,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 11:00:00,5.3,1.5,5.5,10.3,286.0,100.0,1006.0,89.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 12:00:00,5.3,1.3,6.0,10.7,289.0,88.0,1006.8,87.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 13:00:00,5.4,1.3,6.3,11.5,297.0,88.0,1007.6,83.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 14:00:00,5.3,1.3,5.9,12.2,314.0,88.0,1008.9,80.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 15:00:00,5.0,1.0,5.6,9.9,305.0,100.0,1009.6,80.0,0.0,rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 16:00:00,4.6,0.1,6.8,12.3,310.0,88.0,1011.3,85.0,0.0,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 17:00:00,4.5,-0.3,7.5,13.0,325.0,88.0,1012.6,79.0,0.0,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 18:00:00,4.2,-0.9,8.0,13.5,327.0,88.0,1014.0,72.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 19:00:00,3.1,-1.1,5.0,12.0,324.0,13.0,1015.4,74.0,0.0,partly-cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 20:00:00,3.2,-1.8,6.9,11.0,313.0,88.0,1016.3,76.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 21:00:00,2.7,-2.3,6.7,12.3,316.0,88.0,1017.7,79.0,0.0,rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 22:00:00,2.1,-2.8,6.0,11.6,318.0,75.0,1018.7,80.0,0.0,cloudy-with-sunny-intervals,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2019-12-31 23:00:00,1.5,-3.2,5.3,11.1,321.0,0.0,1019.6,79.0,0.0,rain-showers,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2019-12-31
2020-12-31 00:00:00,3.3,0.1,3.4,4.5,183.0,100.0,1005.3,97.0,0.0,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 01:00:00,3.3,0.5,2.9,6.2,208.0,100.0,1005.6,97.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 02:00:00,2.9,0.9,2.0,4.4,243.0,100.0,1006.0,95.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 03:00:00,2.6,0.7,1.9,3.1,201.0,100.0,1006.2,97.0,0.1,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 04:00:00,2.7,0.9,1.8,3.1,238.0,100.0,1006.3,98.0,0.1,light-rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 05:00:00,2.6,0.9,1.7,3.5,217.0,100.0,1007.0,98.0,0.0,rain,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 06:00:00,2.6,-0.2,2.8,4.6,234.0,100.0,1007.7,98.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 07:00:00,2.3,-0.6,2.8,5.3,227.0,100.0,1008.6,94.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 08:00:00,1.6,-2.1,3.6,,223.0,88.0,1009.4,96.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 09:00:00,1.5,-1.6,2.9,4.9,220.0,100.0,1009.7,96.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 10:00:00,1.8,0.3,1.5,4.1,248.0,100.0,1009.7,95.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 11:00:00,1.5,-1.9,3.2,4.3,207.0,100.0,1010.0,95.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 12:00:00,0.9,-2.1,2.6,5.0,201.0,100.0,1010.1,97.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 13:00:00,0.8,-2.6,3.0,4.5,188.0,100.0,1010.8,96.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 14:00:00,0.5,-2.8,2.9,4.4,193.0,100.0,1011.0,98.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 15:00:00,0.4,-3.4,3.5,5.1,173.0,100.0,1011.5,98.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 16:00:00,-0.1,-2.3,1.8,4.3,156.0,100.0,1011.4,99.0,0.0,cloudy,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 17:00:00,-0.2,-2.7,2.0,3.3,153.0,,1011.2,99.0,0.0,,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 18:00:00,-0.3,-3.1,2.2,3.9,174.0,,1011.5,100.0,0.0,fog,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 19:00:00,-0.2,-2.9,2.2,3.9,192.0,100.0,1011.6,100.0,0.0,fog,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
2020-12-31 20:00:00,-0.2,-0.2,1.2,3.6,149.0,100.0,1011.8,100.0,0.0,fog,kauno-ams,Kauno AMS,"{'latitude': 54.88396, 'longitude': 23.83588}",2020-12-31
